,Loss,Accuracy,Dice Coefficient 3 Class,One Hot Mean IOU,Validation Loss,Validation Accuracy,Validation Dice Coefficient 3 Class,Validation One Hot Mean IOU,lr
0,0.132365078,0.94811219,0.569967568,0.518024921,0.095213681,0.967119396,0.609926939,0.559336007,1.00E-04
1,0.066849619,0.976076782,0.663033187,0.629944146,0.061906587,0.978708029,0.701478541,0.720093191,1.00E-04
2,0.048057541,0.982941151,0.764428198,0.762643576,0.052107189,0.982243419,0.748437345,0.776267529,1.00E-04
3,0.039053906,0.985899925,0.800102174,0.800436437,0.041255098,0.98538661,0.78146404,0.808756292,1.00E-04
4,0.033708073,0.987662613,0.823115945,0.823850811,0.033793598,0.988331079,0.800100386,0.836810529,1.00E-04
5,0.029633416,0.989053011,0.842279553,0.842218935,0.030861089,0.989143431,0.831293941,0.851069272,1.00E-04
6,0.027378652,0.989829063,0.85233438,0.853065789,0.026701266,0.99014169,0.846203923,0.864871204,1.00E-04
7,0.025013682,0.990638435,0.863492727,0.863606691,0.025165763,0.990867853,0.854714513,0.8738572,1.00E-04
8,0.023109393,0.991293609,0.871897042,0.871219158,0.023798039,0.991158426,0.865408063,0.879858434,1.00E-04
9,0.022493277,0.991492331,0.876637816,0.87624836,0.022686537,0.991552293,0.863953292,0.879915655,1.00E-04
10,0.021359906,0.991874278,0.88212198,0.880666077,0.021306351,0.992116153,0.8717435,0.884942353,1.00E-04
11,0.020853154,0.992053509,0.883542597,0.88261956,0.023656186,0.991270602,0.870800138,0.879324377,1.00E-04
12,0.019761316,0.992389798,0.887640595,0.885619819,0.019780764,0.992513537,0.882198215,0.893515289,1.00E-04
13,0.019696429,0.992443919,0.891094089,0.889421165,0.019182127,0.992726266,0.883378386,0.893161356,1.00E-04
14,0.018445842,0.99283427,0.895430207,0.892668903,0.019526722,0.992667377,0.884727359,0.895061314,1.00E-04
15,0.017955696,0.993019283,0.896748602,0.89563936,0.017824115,0.993194699,0.89138937,0.902277529,1.00E-04
16,0.017956233,0.992999732,0.897769213,0.895718753,0.019560006,0.992581367,0.886618257,0.895243943,1.00E-04
17,0.017596731,0.993133545,0.899988651,0.897309542,0.018319352,0.993025184,0.891127229,0.899432242,1.00E-04
18,0.016896214,0.993362248,0.904553354,0.900493145,0.017360121,0.993303359,0.897862852,0.904041588,1.00E-04
19,0.016793944,0.99341929,0.905286789,0.902240574,0.01723218,0.993350923,0.896865845,0.902436078,1.00E-04
20,0.016206143,0.993619025,0.906621635,0.903823674,0.01639848,0.993652821,0.901149333,0.908007801,1.00E-04
21,0.016260244,0.993616581,0.909604549,0.904524803,0.016643159,0.9934991,0.90591377,0.903182805,1.00E-04
22,0.01585662,0.993741155,0.908362329,0.905540287,0.016442036,0.993602335,0.905402362,0.90511179,1.00E-04
23,0.016352877,0.993580639,0.908063531,0.904249012,0.015816757,0.99383229,0.909625351,0.910260499,1.00E-04
